,time,AHU: MAT,AHU: RAT,VAV: Core Zone Discharge Air Temperature,VAV: North Zone Discharge Air Temperature,VAV: South Zone Discharge Air Temperature,VAV: Core Zone Airflow Rate,VAV: North Zone Airflow Rate,VAV: South Zone Airflow Rate,Outdoor Air Temperature,AHU: Supply Air Temperature,AHU: Outdoor Air Damper Position,AHU: Return Air Damper Position,VAV: Core Zone Room Air Temperature,VAV Core Zone Cooling SP,VAV: Core Zone Reheat Control Signal,VAV: Core Zone Damper Control Signal,VAV: North Zone Room Air Temperature,VAV North Zone Cooling SP,VAV: North Zone Reheat Control Signal,VAV: North Zone Damper Control Signal,VAV: South Zone Room Air Temperature,VAV South Zone Cooling SP,VAV: South Zone Reheat Control Signal,VAV: South Zone Damper Control Signal,AHU:Cooling Coil Load,AHU: Cooling coil Load,VAV:Core zone Q,AHU: Supply Fan Power,AHU: Supply Fan Airflow Rate,VAV:North zone Q,VAV:South zone Q,faulty
0,19184400.0,55.940197,63.70253,55.206253,55.206253,55.206367,69.50151,69.50151,108.991104,55.940033,55.20631,1.0,0.0,65.117676,299.85,0.0,0.3,65.02484,299.85,0.0,0.3,62.01536,299.85,0.0,0.2625,214.66217,214.66217,0.0,70.947,364.5631,0.0,0.0,0
2,19184520.0,55.93421,63.453087,55.185547,55.185547,55.185654,69.50152,69.50152,108.99111,55.93399,55.1856,1.0,0.0,64.914764,299.85,0.0,0.3,64.808365,299.85,0.0,0.3,61.691208,299.85,0.0,0.2625,216.53146,216.53146,0.0,70.94701,364.5631,0.0,0.0,0
4,19184640.0,55.928223,63.594704,55.16709,55.16709,55.167145,69.50151,69.50151,108.99111,55.928,55.16709,1.0,0.0,65.03885,299.85,0.0,0.3,64.925415,299.85,0.0,0.3,61.884407,299.85,0.0,0.2625,218.08183,218.08183,0.0,70.94701,364.5631,0.0,0.0,0
6,19184700.0,55.9252,63.467537,55.158577,55.158577,55.15863,69.50152,69.50152,108.99111,55.925034,55.15863,1.0,0.0,64.93739,299.85,0.0,0.3,64.82176,299.85,0.0,0.3,61.69802,299.85,0.0,0.2625,218.75017,218.75017,0.0,70.94701,364.5631,0.0,0.0,0
9,19184760.0,55.92218,63.35119,55.15061,55.15061,55.150665,69.50152,69.50152,108.99112,55.922012,55.15061,1.0,0.0,64.86148,299.85,0.0,0.3,64.73503,299.85,0.0,0.3,61.540092,299.85,0.0,0.2625,219.35281,219.35281,0.0,70.94701,364.56314,0.0,0.0,0
10,19184880.0,55.91619,63.500603,55.135887,55.135887,55.13594,69.50152,69.50152,108.99111,55.916027,55.13594,1.0,0.0,64.97217,299.85,0.0,0.3,64.84027,299.85,0.0,0.3,61.766907,299.85,0.0,0.2625,220.37605,220.37605,0.0,70.94701,364.5631,0.0,0.0,0
12,19185000.0,55.910202,63.262367,55.122814,55.122814,55.12287,69.50152,69.50152,108.99113,55.909985,55.12287,1.0,0.0,64.810394,299.85,0.0,0.3,64.66625,299.85,0.0,0.3,61.41397,299.85,0.0,0.2625,221.17902,221.17902,0.0,70.947014,364.56314,0.0,0.0,0
14,19185120.0,55.904217,63.416885,55.111168,55.111168,55.11122,69.50152,69.50152,108.99112,55.904,55.111168,1.0,0.0,64.91432,299.85,0.0,0.3,64.76595,299.85,0.0,0.3,61.66023,299.85,0.0,0.2625,221.78569,221.78569,0.0,70.947014,364.56314,0.0,0.0,0
17,19185240.0,55.898174,63.182934,55.100784,55.100784,55.10084,69.501526,69.501526,108.991135,55.89801,55.100784,1.0,0.0,64.76199,299.85,0.0,0.3,64.602036,299.85,0.0,0.3,61.30416,299.85,0.0,0.2625,222.21678,222.21678,0.0,70.94702,364.56317,0.0,0.0,0
18,19185300.0,55.89521,63.266647,55.09601,55.09601,55.09606,69.501526,69.501526,108.991135,55.89499,55.09601,1.0,0.0,64.82418,299.85,0.0,0.3,64.65813,299.85,0.0,0.3,61.44693,299.85,0.0,0.2625,222.37216,222.37216,0.0,70.94702,364.56317,0.0,0.0,0
