,time,VAV: Core Zone Discharge Air Temperature,AHU: Outdoor Air Damper Position,VAV Core Zone Cooling SP,Diffuse Horizontal Solar Irradiation,VAV: North zone Q,VAV North Zone Heating SP,VAV: North Zone Reheat Control Signal,VAV: South Zone Room Air Temperature,VAV: South Zone Reheat Control Signal,VAV: South Zone Damper Control Signal,VAV North Zone Cooling SP,VAV: North Zone Airflow Rate,VAV: Core Zone Reheat Control Signal,AHU: Supply Air Temperature,Direct Normal Solar Irradiation,AHU:Cooling Coil Load,AHU: Cooling coil Load,VAV: North Zone Damper Control Signal,VAV: Core zone Q,AHU: Supply Fan Power,AHU: RAT,VAV: South Zone Discharge Air Temperature,VAV: Core Zone Airflow Rate,VAV: South Zone Airflow Rate,VAV: North Zone Room Air Temperature,AHU: Return Air Damper Position,VAV South Zone Heating SP,VAV Core Zone Heating SP,VAV: South zone Q,VAV: Core Zone Room Air Temperature,AHU: Supply Fan Airflow Rate,VAV: Core Zone Damper Control Signal,AHU: MAT,VAV South Zone Cooling SP,VAV: North Zone Discharge Air Temperature,Global Horizontal Solar Irradiation,Outdoor Air Temperature
0,19184400.0,55.038986,1.0,80.06002,0.3,50.308178,60.08001,0.0,65.06511,0.0,0.2625,80.06002,69.49934,0.0,52.768776,0.4,584.5639,584.5639,0.3,50.308178,35.862125,65.91952,55.0391,69.49934,108.987274,66.713554,0.0,60.08001,60.08001,78.89636,66.65939,364.55185,0.3,55.940197,80.06002,55.038986,0.49666667,55.940033
2,19184520.0,55.0391,1.0,80.06002,0.3,50.911335,60.08001,0.0,64.957825,0.0,0.2625,80.06002,69.49934,0.0,52.741585,0.4,587.40857,587.40857,0.3,50.911335,35.862125,65.841125,55.039207,69.49934,108.987274,66.65813,0.0,60.08001,60.08001,79.84183,66.60573,364.55185,0.3,55.93421,80.06002,55.0391,0.49756643,55.93399
4,19184640.0,55.039207,1.0,80.06002,0.3,51.453976,60.08001,0.0,64.89147,0.0,0.2625,80.06002,69.499344,0.0,52.717083,0.4,589.8617,589.8617,0.3,51.453976,35.862125,65.796906,55.03926,69.499344,108.987274,66.63478,0.0,60.08001,60.08001,80.69242,66.58359,364.55188,0.3,55.928223,80.06002,55.039207,0.4984721,55.928
6,19184700.0,55.039207,1.0,80.06002,0.3,51.704304,60.08001,0.0,64.838135,0.0,0.2625,80.06002,69.49934,0.0,52.705765,0.4,590.95593,590.95593,0.3,51.704304,35.862125,65.75873,55.039318,69.49934,108.98727,66.60765,0.0,60.08001,60.08001,81.08481,66.557,364.55185,0.3,55.9252,80.06002,55.039207,0.49891976,55.925034
9,19184760.0,55.03926,1.0,80.06002,0.3,51.941612,60.08001,0.0,64.786224,0.0,0.2625,80.06002,69.499344,0.0,52.695053,0.4,591.9683,591.9683,0.3,51.941612,35.862125,65.720825,55.039375,69.499344,108.987274,66.581604,0.0,60.08001,60.08001,81.45679,66.53244,364.55188,0.3,55.92218,80.06002,55.03926,0.49936,55.922012
10,19184880.0,55.039318,1.0,80.06002,0.3,52.37984,60.08001,0.0,64.724754,0.0,0.2625,80.06002,69.499344,0.0,52.675278,0.4,593.7649,593.7649,0.3,52.37984,35.86213,65.67914,55.03943,69.499344,108.987274,66.55865,0.0,60.08001,60.08001,82.1437,66.5108,364.55188,0.3,55.91619,80.06002,55.039318,0.5002064,55.916027
12,19185000.0,55.03943,1.0,80.06002,0.3,52.773735,60.08001,0.0,64.62203,0.0,0.2625,80.06002,69.499344,0.0,52.657482,0.4,595.2832,595.2832,0.3,52.773735,35.86213,65.605255,55.039482,69.499344,108.987274,66.50734,0.0,60.08001,60.08001,82.761116,66.46169,364.55188,0.3,55.910202,80.06002,55.03943,0.50098765,55.909985
14,19185120.0,55.039482,1.0,80.06002,0.3,53.127888,60.08001,0.0,64.56479,0.0,0.2625,80.06002,69.499344,0.0,52.641495,0.4,596.55133,596.55133,0.3,53.127888,35.86213,65.56598,55.039536,69.499344,108.987274,66.484985,0.0,60.08001,60.08001,83.31624,66.44082,364.55188,0.3,55.904217,80.06002,55.039482,0.50168,55.904
17,19185240.0,55.039536,1.0,80.06002,0.3,53.446457,60.08001,0.0,64.46477,0.0,0.2625,80.06002,69.499344,0.0,52.62716,0.4,597.59357,597.59357,0.3,53.446457,35.862125,65.49429,55.039593,69.499344,108.987274,66.43521,0.0,60.08001,60.08001,83.81558,66.39342,364.55188,0.3,55.898174,80.06002,55.039536,0.50225973,55.89801
18,19185300.0,55.039536,1.0,80.06002,0.3,53.593594,60.08001,0.0,64.4384,0.0,0.2625,80.06002,69.49934,0.0,52.620514,0.4,598.0368,598.0368,0.3,53.593594,35.862125,65.475784,55.039593,69.49934,108.98727,66.42489,0.0,60.08001,60.08001,84.04621,66.38435,364.55185,0.3,55.89521,80.06002,55.039536,0.5025,55.89499
